LP,Plot,TypPp,NrPp,Rok,Okres,Actea_spicata,Poa_nemoralis,Chrysosplenium_alternifolium,Galeopsis_pubescens,Mycelis_muralis,Scrophularia_nodosa,Sanicula_europaea,Pteridium_aquilinum,Dryopteris_filix_mas,Lathyrus_vernus,Dryopteris_expansa,Lamium_maculatum,Anemone_nemorosa,Dryopteris_dilatata,Circaea_lutetiana,Veronica_montana,Dryopteris_carthusiana,Pulmonaria_obscura,Aegopodium_podagraria,Rubus_idaeus,Stachys_sylvatica,Gymnocarpium_dryopteris,Viola_reichenbachiana,Urtica_dioica,Geranium_robertianum,Maianthemum_bifolium,Rubus_hirtus,Athyrium_filix_femina,Galium_odoratum,Impatiens_noli_tangere,Circaea_alpina,Galeobdolon_luteum,Oxalis_acetosella,RowSum
483,5,W,44,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,54
10,5,W,1,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,55
461,5,W,42,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,30,10,57
593,5A,I,54,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,4,0,8,25,1,57
373,5,W,34,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,58
538,5A,I,49,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,25,5,0,8,10,1,58
516,5A,I,47,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,7,0,0,0,2,0,0,15,1,4,10,10,3,59
274,5,I,25,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,50,60
318,5,I,29,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,35,60
351,5,I,32,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,35,60
527,5A,W,48,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,20,20,60
87,5A,I,8,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,15,0,10,25,1,61
164,5A,W,15,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,10,13,7,1,61
296,5A,W,27,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,10,5,0,4,5,15,61
549,5A,W,50,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,13,10,17,62
428,5,I,39,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,55,63
76,5,W,7,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,15,35,65
98,5A,W,9,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,32,0,0,0,27,65
681,5,I,62,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,45,65
230,5,I,21,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,15,66
208,5,W,19,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45,20,67
